Date,Minf2,Pip2,Msup2,Trend2,Tail2,Minf1,Pip1,Psup1,Trend1,Tail1,Out,High1,Low1,High2,Low2,Open1,Close1,slTmp,tpTmp
2021.07.21,277,150,101,Up,528,132,200,396,down,728,gain,118303,117575,118047,117519,117907,117707,396,332
2021.07.22,132,200,396,down,728,145,16,160,down,321,pert,117865,117544,118303,117575,117705,117689,161,160
2021.07.23,145,16,160,down,321,42,352,144,up,538,gain,118173,117635,117865,117544,117677,118029,42,496
2021.07.26,42,352,144,Up,538,329,135,246,up,710,pert,118411,117701,118173,117635,118030,118165,381,329
2021.07.27,329,135,246,Up,710,438,282,53,up,773,pert,118494,117721,118411,117701,118159,118441,335,438
2021.07.28,438,282,53,Up,773,29,434,62,up,525,pert,118927,118402,118494,117721,118431,118865,496,29
2021.07.29,29,434,62,Up,525,213,128,229,down,570,gain,119087,118517,118927,118402,118858,118730,229,341
2021.07.30,213,128,229,down,570,51,47,281,up,379,gain,118969,118590,119087,118517,118641,118688,51,328
2021.08.02,51,47,281,Up,379,100,33,263,down,396,gain,118933,118537,118969,118590,118670,118637,263,133
2021.08.03,100,33,263,down,396,39,264,366,down,669,pert,118997,118328,118933,118537,118631,118367,303,366
2021.08.04,39,264,366,down,669,45,33,212,down,290,pert,118572,118282,118997,118328,118360,118327,78,212
2021.08.05,45,33,212,down,290,67,713,33,down,813,pert,118357,117544,118572,118282,118324,117611,780,33
2021.08.06,67,713,33,down,813,13,206,122,down,341,pert,117690,117349,118357,117544,117568,117362,219,122
